user_id,product_id,action,timestamp
user_001,P072,view,2023-01-20 22:42:00
user_001,P083,view,2023-01-20 22:44:06
user_001,P088,view,2023-01-20 22:51:49
user_001,P022,view,2023-01-20 22:54:04
user_001,P030,view,2023-01-20 22:59:52
user_001,P060,view,2023-01-20 23:03:08
user_001,P058,view,2023-01-20 23:10:52
user_001,P091,view,2023-01-20 23:20:17
user_001,P060,view,2023-01-20 23:28:17
user_001,P062,click,2023-01-20 23:31:31
user_001,P055,add_to_cart,2023-01-20 23:40:58
user_001,P003,click,2023-01-20 23:49:27
user_001,P073,view,2023-01-20 23:49:52
user_001,P089,add_to_cart,2023-01-20 23:56:24
user_002,P084,view,2023-01-27 04:01:00
user_002,P044,view,2023-01-27 04:08:39
user_002,P078,view,2023-01-27 04:09:18
user_002,P004,view,2023-01-27 04:18:44
user_002,P054,view,2023-01-27 04:25:18
user_002,P063,click,2023-01-27 04:33:19
user_002,P034,view,2023-01-27 04:42:39
user_002,P095,add_to_cart,2023-01-27 04:47:13
user_002,P078,view,2023-01-27 04:54:53
user_002,P085,view,2023-01-27 04:59:53
user_002,P053,view,2023-01-27 05:05:35
user_002,P060,view,2023-01-27 05:09:16
user_002,P029,click,2023-01-27 05:10:01
user_002,P089,add_to_cart,2023-01-27 05:11:10
user_002,P001,view,2023-01-27 05:16:58
user_002,P063,click,2023-01-27 05:24:54
user_003,P005,add_to_cart,2023-01-03 10:32:00
user_003,P028,click,2023-01-03 10:32:45
user_003,P048,view,2023-01-03 10:33:22
user_003,P088,view,2023-01-03 10:43:00
user_003,P065,view,2023-01-03 10:52:11
user_003,P003,click,2023-01-03 10:59:57
user_003,P014,view,2023-01-03 11:03:39
user_003,P079,view,2023-01-03 11:10:16
user_003,P077,view,2023-01-03 11:19:34
user_003,P052,view,2023-01-03 11:23:39
user_003,P023,view,2023-01-03 11:31:48
user_003,P029,view,2023-01-03 11:34:43
user_003,P071,view,2023-01-03 11:37:27
user_003,P028,add_to_cart,2023-01-03 11:38:57
user_003,P062,view,2023-01-03 11:48:18
user_004,P062,view,2023-01-13 03:29:00
user_004,P092,view,2023-01-13 03:37:30
user_004,P097,view,2023-01-13 03:40:44
user_004,P062,view,2023-01-13 03:45:31
user_004,P070,view,2023-01-13 03:49:54
user_004,P037,view,2023-01-13 03:55:16
user_004,P044,view,2023-01-13 03:59:14
user_004,P032,view,2023-01-13 04:05:32
user_004,P052,view,2023-01-13 04:09:29
user_004,P058,add_to_cart,2023-01-13 04:17:50
user_004,P039,view,2023-01-13 04:26:24
user_004,P056,view,2023-01-13 04:28:21
user_004,P002,view,2023-01-13 04:30:18
